pd_area = 6.361e-05
wl(nm)  cal_pd_sens(A/W)   pd_ratio
320.0 0.14300 128.228
330.0 0.14650 128.73
340.0 0.14880 129.195
350.0 0.15100 130.626
360.0 0.14680 130.119
370.0 0.14700 141.561
380.0 0.15820 133.433
390.0 0.17120 134.246
400.0 0.18210 134.042
410.0 0.19150 133.873
420.0 0.20000 133.883
430.0 0.20780 132.527
440.0 0.21520 131.456
450.0 0.22220 132.054
460.0 0.22900 131.956
470.0 0.23560 131.803
480.0 0.24210 111.869
490.0 0.24840 130.434
500.0 0.25470 129.989
510.0 0.26080 130.077
520.0 0.26690 130.732
530.0 0.27290 130.059
540.0 0.27890 130.241
550.0 0.28480 129.745
560.0 0.29070 127.842
570.0 0.29660 128.623
580.0 0.30230 128.931
590.0 0.30810 129.25
600.0 0.31380 129.199
610.0 0.31950 130.752
620.0 0.32520 131.065
630.0 0.33080 131.514
640.0 0.33640 126.872
650.0 0.34210 133.185
660.0 0.34770 133.271
670.0 0.35320 134.256
680.0 0.35880 136.156
690.0 0.36440 136.889
700.0 0.36990 138.019
710.0 0.37550 137.126
720.0 0.38100 136.855
730.0 0.38650 153.684
740.0 0.39200 153.575
750.0 0.39750 146.609
760.0 0.40310 150.287
770.0 0.40850 153.133
780.0 0.41400 158.029
790.0 0.41950 162.642
800.0 0.42500 167.227
810.0 0.43040 172.812
820.0 0.43590 178.89
830.0 0.44130 183.227
840.0 0.44680 192.004
850.0 0.45230 202.27
860.0 0.45760 212.317
870.0 0.46300 182.88
880.0 0.46850 238.371
890.0 0.47390 255.64
900.0 0.47930 965.647
910.0 0.48450 295.26
920.0 0.48980 325.205
930.0 0.49480 354.769
940.0 0.49950 397.017
950.0 0.50330 444.727
960.0 0.50600 487.577
970.0 0.50700 559.977
980.0 0.50500 661.257
990.0 0.50000 731.453
1000.0 0.48900 806.211
1010.0 0.47200 934.615
1020.0 0.44700 998.156
1030.0 0.41300 1054.67
1040.0 0.37000 887.121
1050.0 0.32100 1033.92
1060.0 0.26700 1066.61
1070.0 0.22300 1007.87
1080.0 0.18700 897.844
1090.0 0.15400 884.667
1100.1 0.12500 651.48
