pd_area = 6.361e-05
 wl(nm)  cal_pd_sens(A/W)   pd_ratio
320.0 0.14300 548.897
330.0 0.14650 550.059
340.0 0.14880 550.967
350.0 0.15100 546.975
360.0 0.14680 554.876
370.0 0.14700 518.413
380.0 0.15820 558.552
390.0 0.17120 560.469
400.0 0.18210 563.778
410.0 0.19150 566.956
420.0 0.20000 568.148
430.0 0.20780 573.962
440.0 0.21520 579.899
450.0 0.22220 578.529
460.0 0.22900 579.796
470.0 0.23560 581.728
480.0 0.24210 684.395
490.0 0.24840 587.832
500.0 0.25470 590.274
510.0 0.26080 589.449
520.0 0.26690 586.069
530.0 0.27290 589.529
540.0 0.27890 589.557
550.0 0.28480 593.091
560.0 0.29070 601.922
570.0 0.29660 599.13
580.0 0.30230 598.559
590.0 0.30810 597.944
600.0 0.31380 597.747
610.0 0.31950 591.497
620.0 0.32520 590.509
630.0 0.33080 589.765
640.0 0.33640 613.542
650.0 0.34210 585.295
660.0 0.34770 584.916
670.0 0.35320 582.708
680.0 0.35880 574.989
690.0 0.36440 572.727
700.0 0.36990 568.848
710.0 0.37550 574.191
720.0 0.38100 576.149
730.0 0.38650 513.789
740.0 0.39200 515.252
750.0 0.39750 539.351
760.0 0.40310 529.146
770.0 0.40850 517.842
780.0 0.41400 503.224
790.0 0.41950 489.645
800.0 0.42500 477.572
810.0 0.43040 461.483
820.0 0.43590 448.65
830.0 0.44130 438.338
840.0 0.44680 418.006
850.0 0.45230 397.071
860.0 0.45760 378.816
870.0 0.46300 440.721
880.0 0.46850 340.034
890.0 0.47390 317.287
900.0 0.47930 84.1146
910.0 0.48450 274.904
920.0 0.48980 250.642
930.0 0.49480 229.917
940.0 0.49950 207.904
950.0 0.50330 185.729
960.0 0.50600 168.23
970.0 0.50700 146.581
980.0 0.50500 124.825
990.0 0.50000 112.375
1000.0 0.48900 101.386
1010.0 0.47200 86.9074
1020.0 0.44700 80.5207
1030.0 0.41300 74.9213
1040.0 0.37000 87.4942
1050.0 0.32100 73.0911
1060.0 0.26700 69.4654
1070.0 0.22300 71.5826
1080.0 0.18700 79.3408
1090.0 0.15400 79.62
1100.1 0.12500 326.212
