pd_area = 6.361e-05
 wl(nm)  cal_pd_sens(A/W)   pd_ratio
 320.0      0.14300         2.653e+02
 330.0      0.14650         2.661e+02
 340.0      0.14880         2.668e+02
 350.0      0.15100         2.673e+02
 360.0      0.14680         2.687e+02
 370.0      0.14700         2.709e+02
 380.0      0.15820         2.730e+02
 390.0      0.17120         2.743e+02
 400.0      0.18210         2.749e+02
 410.0      0.19150         2.755e+02
 420.0      0.20000         2.758e+02
 430.0      0.20780         2.758e+02
 440.0      0.21520         2.761e+02
 450.0      0.22220         2.764e+02
 460.0      0.22900         2.766e+02
 470.0      0.23560         2.769e+02
 480.0      0.24210         2.767e+02
 490.0      0.24840         2.769e+02
 500.0      0.25470         2.770e+02
 510.0      0.26080         2.769e+02
 520.0      0.26690         2.768e+02
 530.0      0.27290         2.769e+02
 540.0      0.27890         2.771e+02
 550.0      0.28480         2.774e+02
 560.0      0.29070         2.774e+02
 570.0      0.29660         2.776e+02
 580.0      0.30230         2.778e+02
 590.0      0.30810         2.780e+02
 600.0      0.31380         2.779e+02
 610.0      0.31950         2.781e+02
 620.0      0.32520         2.782e+02
 630.0      0.33080         2.785e+02
 640.0      0.33640         2.790e+02
 650.0      0.34210         2.792e+02
 660.0      0.34770         2.792e+02
 670.0      0.35320         2.797e+02
 680.0      0.35880         2.798e+02
 690.0      0.36440         2.800e+02
 700.0      0.36990         2.802e+02
 710.0      0.37550         2.806e+02
 720.0      0.38100         2.808e+02
 730.0      0.38650         2.810e+02
 740.0      0.39200         2.813e+02
 750.0      0.39750         2.812e+02
 760.0      0.40310         2.820e+02
 770.0      0.40850         2.816e+02
 780.0      0.41400         2.820e+02
 790.0      0.41950         2.822e+02
 800.0      0.42500         2.826e+02
 810.0      0.43040         2.824e+02
 820.0      0.43590         2.833e+02
 830.0      0.44130         2.834e+02
 840.0      0.44680         2.833e+02
 850.0      0.45230         2.834e+02
 860.0      0.45760         2.836e+02
 870.0      0.46300         2.839e+02
 880.0      0.46850         2.847e+02
 890.0      0.47390         2.848e+02
 900.0      0.47930         2.850e+02
 910.0      0.48450         2.849e+02
 920.0      0.48980         2.855e+02
 930.0      0.49480         2.856e+02
 940.0      0.49950         2.873e+02
 950.0      0.50330         2.874e+02
 960.0      0.50600         2.864e+02
 970.0      0.50700         2.865e+02
 980.0      0.50500         2.873e+02
 990.0      0.50000         2.867e+02
 1000.0      0.48900         2.859e+02
 1010.0      0.47200         2.850e+02
 1020.0      0.44700         2.835e+02
 1030.0      0.41300         2.811e+02
 1040.0      0.37000         2.786e+02
 1050.0      0.32100         2.749e+02
 1060.0      0.26700         2.722e+02
 1070.0      0.22300         2.686e+02
 1080.0      0.18700         2.669e+02
 1090.0      0.15400         2.654e+02
 1100.1      0.12500         4.610e+02
