pd_area = 1.0e-04 
wl(nm)  cal_pd_sens(A/W)   pd_ratio 
290.0      0.11861         143.30 
295.0      0.12345         150.42 
300.0      0.12636         168.74 
305.0      0.12491         162.46 
310.0      0.12295         164.38 
315.0      0.12425         173.11 
320.0      0.12606         176.26 
325.0      0.12522         180.14 
330.0      0.12345         182.22 
335.0      0.12301         183.56 
340.0      0.12337         187.19 
345.0      0.12341         188.24 
350.0      0.12255         188.89 
355.0      0.12066         191.55 
360.0      0.11886         191.74 
365.0      0.11858         191.61 
370.0      0.12127         190.27 
375.0      0.12774         186.86 
380.0      0.13615         186.29 
385.0      0.14443         183.65 
390.0      0.15212         182.77 
395.0      0.15924         180.80 
400.0      0.16603         179.17 
405.0      0.17270         176.29 
410.0      0.17922         175.24 
415.0      0.18549         173.85 
420.0      0.19141         171.42 
425.0      0.19700         169.44 
430.0      0.20268         167.50 
435.0      0.20883         165.99 
440.0      0.21511         163.26 
445.0      0.22116         161.98 
450.0      0.22727         161.06 
455.0      0.23373         159.10 
460.0      0.24012         157.75 
465.0      0.24605         156.47 
470.0      0.25193         154.96 
475.0      0.25821         153.49 
480.0      0.26461         152.23 
485.0      0.27079         150.73 
490.0      0.27680         149.65 
495.0      0.28279         148.44 
500.0      0.28891         146.65 
505.0      0.29523         145.69 
510.0      0.30139         144.44 
515.0      0.30709         143.22 
520.0      0.31272         142.14 
525.0      0.31866         140.93 
530.0      0.32465         139.88 
535.0      0.33036         139.28 
540.0      0.33598         138.02 
545.0      0.34172         137.34 
550.0      0.34752         136.66 
555.0      0.35324         135.80 
560.0      0.35885         135.17 
565.0      0.36432         134.46 
570.0      0.36962         133.80 
575.0      0.37476         133.35 
580.0      0.37990         132.93 
585.0      0.38517         132.18 
590.0      0.39036         132.41 
595.0      0.39530         131.81 
600.0      0.40020         131.42 
605.0      0.40523         130.88 
610.0      0.40994         130.56 
615.0      0.41395         130.34 
620.0      0.41787         130.12 
625.0      0.42230         129.98 
630.0      0.42695         129.62 
635.0      0.43138         129.12 
640.0      0.43562         129.09 
645.0      0.43978         128.78 
650.0      0.44391         129.01 
655.0      0.44804         129.22 
660.0      0.45212         128.86 
665.0      0.45612         128.65 
670.0      0.46003         128.53 
675.0      0.46384         128.40 
680.0      0.46741         128.26 
685.0      0.47067         128.31 
690.0      0.47399         128.18 
695.0      0.47768         128.27 
700.0      0.48131         128.52 
705.0      0.48445         128.23 
710.0      0.48730         127.45 
715.0      0.49016         126.98 
720.0      0.49320         127.24 
725.0      0.49644         126.86 
730.0      0.49960         126.70 
735.0      0.50245         126.54 
740.0      0.50534         126.49 
745.0      0.50854         126.18 
750.0      0.51142         126.32 
755.0      0.51340         125.97 
760.0      0.51500         126.46 
765.0      0.51687         126.27 
770.0      0.51917         126.58 
775.0      0.52184         126.75 
780.0      0.52434         127.16 
785.0      0.52626         127.18 
790.0      0.52803         126.55 
795.0      0.53009         127.50 
800.0      0.53208         128.72 
805.0      0.53360         128.33 
810.0      0.53483         128.84 
815.0      0.53602         130.06 
820.0      0.53726         129.29 
825.0      0.53853         129.66 
830.0      0.53971         130.31 
835.0      0.54067         130.66 
840.0      0.54146         131.49 
845.0      0.54217         133.75 
850.0      0.54281         133.36 
855.0      0.54340         133.82 
860.0      0.54390         134.62 
865.0      0.54426         135.79 
870.0      0.54432         136.72 
875.0      0.54391         137.12 
880.0      0.54308         137.52 
885.0      0.54193         138.56 
890.0      0.54070         139.93 
895.0      0.53953         140.73 
900.0      0.53793         142.58 
905.0      0.53560         143.40 
910.0      0.53345         145.51 
915.0      0.53195         146.73 
920.0      0.52854         148.31 
925.0      0.52115         149.83 
930.0      0.51278         152.57 
935.0      0.50658         154.91 
940.0      0.50130         156.32 
945.0      0.49509         158.29 
950.0      0.48810         160.70 
955.0      0.48097         163.72 
960.0      0.47417         165.30 
965.0      0.46785         167.96 
970.0      0.46093         171.66 
975.0      0.45246         174.59 
980.0      0.44324         176.98 
985.0      0.43420         180.18 
990.0      0.42512         183.38 
995.0      0.41562         185.48 
1000.0      0.40569         187.93 
1005.0      0.39542         189.86 
1010.0      0.38484         190.75 
1015.0      0.37399         191.19 
1020.0      0.36313         190.55 
1025.0      0.35239         187.98 
1030.0      0.34126         186.51 
1035.0      0.32924         183.10 
1040.0      0.31637         178.95 
1045.0      0.30282         176.67 
1050.0      0.28859         170.59 
1055.0      0.27374         167.00 
1060.0      0.25889         154.76 
1065.0      0.24466         152.75 
1070.0      0.23128         146.46 
1075.0      0.21882         143.09 
1080.0      0.20708         138.42 
1085.0      0.19580         135.10 
1090.0      0.18475         133.76 
1095.0      0.17370         132.07 
1100.0      0.16241         128.87 
1105.0      0.15066         120.76 
1110.0      0.13823         114.51 
