pd_area = 0.000100 
wl(nm)  cal_pd_sens(A/W)   pd_ratio 
290.0      0.11861         165.87 
295.0      0.12345         168.46 
300.0      0.12636         173.51 
305.0      0.12491         176.32 
310.0      0.12295         179.97 
315.0      0.12425         184.08 
320.0      0.12606         186.25 
325.0      0.12522         189.42 
330.0      0.12345         193.33 
335.0      0.12301         194.31 
340.0      0.12337         196.20 
345.0      0.12341         197.85 
350.0      0.12255         199.17 
355.0      0.12066         200.76 
360.0      0.11886         203.02 
365.0      0.11858         203.17 
370.0      0.12127         200.66 
375.0      0.12774         198.08 
380.0      0.13615         196.19 
385.0      0.14443         194.46 
390.0      0.15212         192.69 
395.0      0.15924         190.91 
400.0      0.16603         189.50 
405.0      0.17270         187.59 
410.0      0.17922         185.57 
415.0      0.18549         183.86 
420.0      0.19141         181.98 
425.0      0.19700         180.10 
430.0      0.20268         178.06 
435.0      0.20883         176.15 
440.0      0.21511         174.54 
445.0      0.22116         172.73 
450.0      0.22727         171.07 
455.0      0.23373         169.38 
460.0      0.24012         167.65 
465.0      0.24605         166.12 
470.0      0.25193         164.65 
475.0      0.25821         163.28 
480.0      0.26461         161.64 
485.0      0.27079         160.34 
490.0      0.27680         158.85 
495.0      0.28279         157.55 
500.0      0.28891         156.19 
505.0      0.29523         154.90 
510.0      0.30139         153.68 
515.0      0.30709         152.47 
520.0      0.31272         151.37 
525.0      0.31866         150.21 
530.0      0.32465         149.06 
535.0      0.33036         148.07 
540.0      0.33598         147.17 
545.0      0.34172         146.21 
550.0      0.34752         145.42 
555.0      0.35324         144.40 
560.0      0.35885         143.72 
565.0      0.36432         143.09 
570.0      0.36962         142.52 
575.0      0.37476         141.95 
580.0      0.37990         141.35 
585.0      0.38517         140.98 
590.0      0.39036         140.46 
595.0      0.39530         140.01 
600.0      0.40020         139.64 
605.0      0.40523         139.22 
610.0      0.40994         138.87 
615.0      0.41395         138.56 
620.0      0.41787         138.29 
625.0      0.42230         138.09 
630.0      0.42695         137.83 
635.0      0.43138         137.71 
640.0      0.43562         137.45 
645.0      0.43978         137.21 
650.0      0.44391         137.17 
655.0      0.44804         137.02 
660.0      0.45212         136.96 
665.0      0.45612         136.76 
670.0      0.46003         136.71 
675.0      0.46384         136.66 
680.0      0.46741         136.67 
685.0      0.47067         136.41 
690.0      0.47399         136.37 
695.0      0.47768         136.27 
700.0      0.48131         135.99 
705.0      0.48445         135.88 
710.0      0.48730         135.57 
715.0      0.49016         135.39 
720.0      0.49320         135.23 
725.0      0.49644         134.94 
730.0      0.49960         134.71 
735.0      0.50245         134.59 
740.0      0.50534         134.43 
745.0      0.50854         134.32 
750.0      0.51142         134.14 
755.0      0.51340         134.16 
760.0      0.51500         134.16 
765.0      0.51687         134.17 
770.0      0.51917         134.53 
775.0      0.52184         134.89 
780.0      0.52434         135.18 
785.0      0.52626         135.29 
790.0      0.52803         135.58 
795.0      0.53009         136.02 
800.0      0.53208         136.19 
805.0      0.53360         136.84 
810.0      0.53483         137.31 
815.0      0.53602         138.06 
820.0      0.53726         138.29 
825.0      0.53853         138.54 
830.0      0.53971         139.29 
835.0      0.54067         139.88 
840.0      0.54146         140.71 
845.0      0.54217         141.69 
850.0      0.54281         142.56 
855.0      0.54340         143.57 
860.0      0.54390         144.35 
865.0      0.54426         144.63 
870.0      0.54432         145.66 
875.0      0.54391         146.53 
880.0      0.54308         147.43 
885.0      0.54193         148.02 
890.0      0.54070         149.83 
895.0      0.53953         150.88 
900.0      0.53793         152.59 
905.0      0.53560         153.63 
910.0      0.53345         155.98 
915.0      0.53195         157.49 
920.0      0.52854         158.75 
925.0      0.52115         161.19 
930.0      0.51278         163.79 
935.0      0.50658         166.25 
940.0      0.50130         167.71 
945.0      0.49509         170.11 
950.0      0.48810         172.33 
955.0      0.48097         174.65 
960.0      0.47417         177.93 
965.0      0.46785         181.45 
970.0      0.46093         184.11 
975.0      0.45246         188.18 
980.0      0.44324         189.95 
985.0      0.43420         193.43 
990.0      0.42512         197.22 
995.0      0.41562         198.60 
1000.0      0.40569         201.77 
1005.0      0.39542         204.26 
1010.0      0.38484         205.68 
1015.0      0.37399         206.27 
1020.0      0.36313         206.10 
1025.0      0.35239         204.52 
1030.0      0.34126         202.06 
1035.0      0.32924         198.99 
1040.0      0.31637         195.65 
1045.0      0.30282         189.50 
1050.0      0.28859         183.52 
1055.0      0.27374         178.14 
1060.0      0.25889         171.07 
1065.0      0.24466         163.84 
1070.0      0.23128         159.62 
1075.0      0.21882         154.27 
1080.0      0.20708         147.99 
1085.0      0.19580         144.36 
1090.0      0.18475         140.24 
1095.0      0.17370         136.00 
1100.0      0.16241         132.61 
1105.0      0.15066         125.00 
1110.0      0.13823         120.97 
