pd_area = 1.0e-04 
wl(nm)  cal_pd_sens(A/W)   pd_ratio 
290.0      0.11861         160.29 
295.0      0.12345         165.28 
300.0      0.12636         161.76 
305.0      0.12491         164.93 
310.0      0.12295         176.56 
315.0      0.12425         176.01 
320.0      0.12606         180.91 
325.0      0.12522         181.46 
330.0      0.12345         188.31 
335.0      0.12301         188.87 
340.0      0.12337         189.68 
345.0      0.12341         193.94 
350.0      0.12255         194.50 
355.0      0.12066         197.22 
360.0      0.11886         200.20 
365.0      0.11858         199.94 
370.0      0.12127         196.30 
375.0      0.12774         192.60 
380.0      0.13615         191.01 
385.0      0.14443         188.07 
390.0      0.15212         185.42 
395.0      0.15924         184.32 
400.0      0.16603         182.26 
405.0      0.17270         179.94 
410.0      0.17922         178.28 
415.0      0.18549         176.66 
420.0      0.19141         173.95 
425.0      0.19700         172.55 
430.0      0.20268         170.81 
435.0      0.20883         168.54 
440.0      0.21511         167.08 
445.0      0.22116         165.23 
450.0      0.22727         163.25 
455.0      0.23373         161.57 
460.0      0.24012         159.85 
465.0      0.24605         158.45 
470.0      0.25193         156.90 
475.0      0.25821         155.43 
480.0      0.26461         153.95 
485.0      0.27079         152.32 
490.0      0.27680         151.40 
495.0      0.28279         149.40 
500.0      0.28891         148.52 
505.0      0.29523         147.35 
510.0      0.30139         145.85 
515.0      0.30709         144.52 
520.0      0.31272         143.76 
525.0      0.31866         142.40 
530.0      0.32465         141.35 
535.0      0.33036         140.60 
540.0      0.33598         139.48 
545.0      0.34172         138.81 
550.0      0.34752         137.86 
555.0      0.35324         137.17 
560.0      0.35885         136.44 
565.0      0.36432         135.71 
570.0      0.36962         135.10 
575.0      0.37476         134.79 
580.0      0.37990         133.91 
585.0      0.38517         133.59 
590.0      0.39036         133.03 
595.0      0.39530         132.68 
600.0      0.40020         132.19 
605.0      0.40523         131.87 
610.0      0.40994         131.53 
615.0      0.41395         131.25 
620.0      0.41787         130.90 
625.0      0.42230         130.33 
630.0      0.42695         130.49 
635.0      0.43138         130.03 
640.0      0.43562         129.95 
645.0      0.43978         130.24 
650.0      0.44391         129.29 
655.0      0.44804         129.16 
660.0      0.45212         129.76 
665.0      0.45612         129.34 
670.0      0.46003         129.36 
675.0      0.46384         129.54 
680.0      0.46741         128.98 
685.0      0.47067         128.85 
690.0      0.47399         128.88 
695.0      0.47768         128.82 
700.0      0.48131         128.82 
705.0      0.48445         128.87 
710.0      0.48730         128.31 
715.0      0.49016         127.95 
720.0      0.49320         128.13 
725.0      0.49644         127.73 
730.0      0.49960         127.27 
735.0      0.50245         127.04 
740.0      0.50534         126.53 
745.0      0.50854         126.83 
750.0      0.51142         126.74 
755.0      0.51340         126.93 
760.0      0.51500         127.44 
765.0      0.51687         126.50 
770.0      0.51917         127.79 
775.0      0.52184         128.27 
780.0      0.52434         127.97 
785.0      0.52626         129.03 
790.0      0.52803         129.30 
795.0      0.53009         128.46 
800.0      0.53208         130.24 
805.0      0.53360         129.67 
810.0      0.53483         130.68 
815.0      0.53602         130.48 
820.0      0.53726         130.62 
825.0      0.53853         130.26 
830.0      0.53971         131.66 
835.0      0.54067         131.99 
840.0      0.54146         132.91 
845.0      0.54217         136.57 
850.0      0.54281         138.28 
855.0      0.54340         138.89 
860.0      0.54390         139.28 
865.0      0.54426         138.45 
870.0      0.54432         138.26 
875.0      0.54391         138.76 
880.0      0.54308         138.44 
885.0      0.54193         139.48 
890.0      0.54070         141.25 
895.0      0.53953         141.62 
900.0      0.53793         143.84 
905.0      0.53560         144.37 
910.0      0.53345         146.85 
915.0      0.53195         147.68 
920.0      0.52854         150.21 
925.0      0.52115         153.17 
930.0      0.51278         155.86 
935.0      0.50658         156.65 
940.0      0.50130         158.11 
945.0      0.49509         160.31 
950.0      0.48810         161.63 
955.0      0.48097         165.45 
960.0      0.47417         168.65 
965.0      0.46785         171.68 
970.0      0.46093         173.93 
975.0      0.45246         176.77 
980.0      0.44324         178.57 
985.0      0.43420         182.81 
990.0      0.42512         185.09 
995.0      0.41562         187.39 
1000.0      0.40569         190.50 
1005.0      0.39542         193.39 
1010.0      0.38484         193.59 
1015.0      0.37399         195.31 
1020.0      0.36313         194.67 
1025.0      0.35239         196.93 
1030.0      0.34126         193.52 
1035.0      0.32924         192.75 
1040.0      0.31637         185.22 
1045.0      0.30282         183.68 
1050.0      0.28859         176.10 
1055.0      0.27374         173.65 
1060.0      0.25889         166.48 
1065.0      0.24466         171.13 
1070.0      0.23128         155.96 
1075.0      0.21882         149.82 
1080.0      0.20708         151.72 
1085.0      0.19580         142.15 
1090.0      0.18475         140.68 
1095.0      0.17370         147.39 
1100.0      0.16241         150.20 
1105.0      0.15066         132.46 
1110.0      0.13823         123.94 
